Lp.;NieruchomoúÊ;Numer;Zmiana od;Liczba mieszkaÒcÛw;Stawka
344;63-300 PLESZEW, Dobra Nadzieja 15;94/2025;2025.01.01;3;117
345;63-300 Pleszew, Dobra Nadzieja 16;;2019.02.01;3;117
346;63-300 Pleszew, Dobra Nadzieja 16/2;1969/2022;2023.01.01;2;78
347;63-300 PLESZEW, Dobra Nadzieja 16A;2917/2020;2020.09.01;3;114
348;63-300 Pleszew, Dobra Nadzieja 17;1312/2024;2024.11.01;5;190
349;63-300 Pleszew, Dobra Nadzieja 19;2574/2020;2020.08.01;5;190
350;63-300 Pleszew, Dobra Nadzieja 19A;;2020.01.01;2;78
351;63-300 PLESZEW, Dobra Nadzieja 19B;940/2021;2021.06.01;4;152
352;63-300 PLESZEW, Dobra Nadzieja 19C;2055/2025;2025.01.01;1;39
353;63-300 Pleszew, Dobra Nadzieja 20a;;2019.02.01;3;117
354;63-300 PLESZEW, Dobra Nadzieja 20b;1557/2020;2020.08.01;4;156
355;63-300 PLESZEW, Dobra Nadzieja 21;934/2022;2022.07.01;5;195
356;63-300 PLESZEW, Dobra Nadzieja 22;274/2022;2021.12.01;5;195
357;63-300 PLESZEW, Dobra Nadzieja 22B;1173/2024;2024.10.01;1;39
358;63-300 PLESZEW, Dobra Nadzieja 22C;557/2021;2021.03.01;4;156
359;63-300 Pleszew, Dobra Nadzieja 23;3692/2020;2020.12.01;3;114
360;63-300 pleszew, Dobra Nadzieja 23A;;2019.02.01;4;156
361;63-300 PLESZEW, Dobra Nadzieja 23B;56/2021;2021.01.01;2;76
362;63-300 Pleszew, Dobra Nadzieja 23C;;2019.02.01;4;156
363;63-300 Pleszew, Dobra Nadzieja 24;1028/2025;2025.03.01;2;78
364;63-300 PLESZEW, Dobra Nadzieja 24A;947/2025;2025.03.01;2;78
365;63-300 Pleszew, Dobra Nadzieja 24B;1836/2020;2020.08.01;2;78
366;63-300 PLESZEW, Dobra Nadzieja 25;918/2023;2023.07.01;1;39
367;63-300 PLESZEW, Dobra Nadzieja 26;771/2021;2021.04.01;1;39
368;63-300 PLESZEW, Dobra Nadzieja 26A;696/2022;2022.05.01;5;195
369;63-300 Pleszew, Dobra Nadzieja 27/B;3149/2020;2020.10.01;5;190
370;63-300 PLESZEW, Dobra Nadzieja 27A;258/2021;2021.01.01;2;78
371;63-300 PLESZEW, Dobra Nadzieja 27C;;2019.05.01;5;195
372;63-300 Pleszew, Dobra Nadzieja 28;1721/2025;2025.09.01;1;39
373;63-300 Pleszew, Dobra Nadzieja 28a;;2019.02.01;4;156
374;63-300 Pleszew, Dobra Nadzieja 28B;;2019.02.01;5;195
375;63-300 PLESZEW, Dobra Nadzieja 28C;;2019.02.01;6;234
376;63-300 Pleszew, Dobra Nadzieja 29;;2016.09.01;4;156
377;63-300 PLESZEW, Dobra Nadzieja 30;531/2021;2021.04.01;6;228
378;63-300 PLESZEW, Dobra Nadzieja 30A;686/2022;2022.03.01;4;152
379;63-300 PLESZEW, Dobra Nadzieja 31;1140/2023;2023.08.01;5;195
380;63-300 PLESZEW, Dobra Nadzieja 31C;;2019.02.01;4;156
381;63-300 Pleszew, Dobra Nadzieja 32;2712/2020;2020.09.01;6;228
382;63-300 PLESZEW, Dobra Nadzieja 33;311/2022;2022.02.01;5;190
383;63-300 Pleszew, Dobra Nadzieja 37;;2019.02.01;1;39
384;63-300 Pleszew, Dobra Nadzieja 37;;2019.02.01;3;117
385;63-300 PLESZEW, Dobra Nadzieja 38;;2019.02.01;4;156
386;63-300 PLESZEW, Dobra Nadzieja 39;;2019.02.01;3;117
387;63-300 PLESZEW, Dobra Nadzieja 40;322/2024;2024.01.01;7;273
388;63-300 Pleszew, Dobra Nadzieja 40A;2025/2025;2025.10.01;5;190
389;63-300 Pleszew, Dobra Nadzieja 41A;1186/2024;2024.09.01;5;195
390;63-300 PLESZEW, Dobra Nadzieja 42;1946/2022;2023.01.01;4;156
391;63-300 PLESZEW, Dobra Nadzieja 43a;;2019.02.01;4;156
392;63-300 PLESZEW, Dobra Nadzieja 44;102/2023;2023.01.01;2;78
393;63-300 Pleszew, Dobra Nadzieja 45A;1935/2022;2023.01.01;6;234
394;63-300 Pleszew, Dobra Nadzieja 45B;388/2025;2025.01.01;5;195
395;63-300 Pleszew, Dobra Nadzieja 46;;2019.02.01;3;117
396;63-300 Pleszew, Dobra Nadzieja 47;;2019.02.01;5;195
397;63-300 Pleszew, Dobra Nadzieja 48;2137/2025;2025.12.01;2;78
398;63-300 PLESZEW, Dobra Nadzieja 49;;2019.11.01;5;195
399;63-300 PLESZEW, Dobra Nadzieja 50;1788/2025;2025.09.01;6;234
400;63-300 PLESZEW, Dobra Nadzieja 51;339/2024;2024.03.01;3;117
401;63-300 Pleszew, Dobra Nadzieja 52;;2019.02.01;3;117
402;63-300 PLESZEW, Dobra Nadzieja 53;3504/2020;2020.11.01;3;117
403;63-300 PLESZEW, Dobra Nadzieja 54;;2019.02.01;4;156
404;63-300 Pleszew, Dobra Nadzieja 54A;;2019.12.01;4;156
405;63-300 Pleszew, Dobra Nadzieja 55;;2019.02.01;1;39
406;63-300 PLESZEW, Dobra Nadzieja 55;971/2023;2023.06.01;1;39
407;63-300 PLESZEW, Dobra Nadzieja 56;3523/2020;2020.11.01;2;76
408;63-300 PLESZEW, Dobra Nadzieja 56 C;1642/2021;2021.11.01;4;156
409;63-300 Pleszew, Dobra Nadzieja 56B;3508/2020;2020.11.01;4;152
410;63-300 Pleszew, Dobra Nadzieja 57;1867/2020;2020.08.01;2;76
411;63-300 PLESZEW, Dobra Nadzieja 57A;1482/2021;2021.09.01;2;78
412;63-300 PLESZEW, Dobra Nadzieja 57C;3792/2020;2021.01.01;2;76
413;63-300 Pleszew, Dobra Nadzieja 57D;1229/2024;2024.10.01;4;152
414;63-300 PLESZEW, Dobra Nadzieja 58;;2019.02.01;4;156
415;63-300 PLESZEW, Dobra Nadzieja 58A;1020/2025;2025.04.01;3;114
416;63-300 PLESZEW, Dobra Nadzieja 59;;2019.02.01;3;117
417;63-300 Pleszew, Dobra Nadzieja 59B;;2019.02.01;3;117
418;63-300 PLESZEW, Dobra Nadzieja 59C;;2019.02.01;3;117
419;63-300 PLESZEW, Dobra Nadzieja 60;907/2025;2025.01.01;7;266
420;63-300 PLESZEW, Dobra Nadzieja 61;868/2025;2025.03.01;6;228
421;63-300 Pleszew, Dobra Nadzieja 62;541/2023;2023.01.01;4;156
422;63-300 PLESZEW, Dobra Nadzieja 64A;1315/2024;2024.11.01;4;152
423;63-300 PLESZEW, Dobra Nadzieja 64B;1254/2023;2023.10.01;2;78
424;63-300 Pleszew, Dobra Nadzieja 65;;2019.02.01;2;78
425;PLESZEW, Dobra Nadzieja 65A;856/2022;2022.08.01;4;152
426;63-300 PLESZEW, Dobra Nadzieja 66;;2019.02.01;4;156
427;63-300 Pleszew, Dobra Nadzieja 67;529/2023;2023.04.01;2;76
428;63-300 PLESZEW, Dobra Nadzieja 77;568/2021;2021.03.01;2;76
429;63-300 PLESZEW, Dobra Nadzieja 80;;2019.02.01;2;78
430;63-300 PLESZEW, Dobra Nadzieja 104;;2019.06.01;3;117
431;63-300 PLESZEW, Dobra Nadzieja 107;991/2024;2024.09.01;3;117
432;63-300 PLESZEW, Dobra Nadzieja, Leúna 6;;2019.02.01;4;156
433;63-300 PLESZEW, Dobra Nadzieja, Malownicza 9;840/2022;2022.07.01;1;39
434;63-300 PLESZEW, Dobra Nadzieja, Malownicza 12;1041/2025;2025.03.01;2;78
435;63-300 PLESZEW, Dobra Nadzieja, Ostrowska 16;2253/2020;2020.08.01;1;38
436;63-300 PLESZEW, Dobra Nadzieja, Ostrowska 18;3701/2020;2020.12.01;1;39
437;63-300 Pleszew, Dobra Nadzieja, Ostrowska 22;1663/2023;2023.12.01;3;117
438;63-300 Pleszew, Dobra Nadzieja, Ostrowska 24;;2019.02.01;2;78
439;63-300 PLESZEW, Dobra Nadzieja, Ostrowska 28;1077/2022;2022.07.01;4;156
440;63-300 PLESZEW, Dobra Nadzieja, Ostrowska 30/1;156/2021;2021.01.01;3;117
441;63-300 PLESZEW, Dobra Nadzieja, Ostrowska 30/2;;2019.02.01;4;156
442;63-300 PLESZEW, Dobra Nadzieja, Topolowa 4;;2019.02.01;3;117
443;63-300 PLESZEW, Dobra Nadzieja, Topolowa 8;796/2025;2025.01.01;1;39
444;63-300 PLESZEW, Dobra Nadzieja, Topolowa 24;1611/2025;2025.08.01;4;156
445;63-300 PLESZEW, Dobra Nadzieja, Z≥ota 2;;2019.02.01;6;234
446;63-300 PLESZEW, Dobra Nadzieja, Z≥ota 3;627/2024;2024.06.01;5;195
447;63-300 PLESZEW, Dobra Nadzieja, Z≥ota 4;976/2025;2025.03.01;5;195
448;63-300 PLESZEW, Dobra Nadzieja, Z≥ota 5;3519/2020;2020.11.01;3;117
449;63-300 PLESZEW, Dobra Nadzieja, Z≥ota 6;;2013.07.01;5;195
450;63-300 PLESZEW, Dobra Nadzieja, Z≥ota 7;516/2024;2024.05.01;4;156
451;63-300 PLESZEW, Dobra Nadzieja, Z£OTA 9;873/2023;2023.06.01;4;156
452;63-300 PLESZEW, Dobra Nadzieja, Z≥ota 10;1533/2023;2023.11.01;3;117
453;63-300 PLESZEW, Folusz 1;3353/2020;2020.11.01;4;156
454;63-300 PLESZEW, Folusz 1/1;1279/2024;2024.11.01;3;117
455;63-300 Pleszew, Folusz 1A;;2019.02.01;4;156
456;63-300 PLESZEW, Folusz 1B;;2019.10.01;3;117
457;63-300 PLESZEW, Folusz 1D;326/2023;2023.02.01;3;117
458;63-300 PLESZEW, Folusz 2A;1370/2024;2024.11.01;2;78
459;63-300 Pleszew, Folusz 2B;;2019.02.01;4;156
460;63-300 PLESZEW, Folusz 2D;261/2024;2024.02.01;2;78
461;63-300 Pleszew, Folusz 3;1358/2022;2022.07.01;6;228
462;63-300 PLESZEW, Folusz 3A;568/2022;2022.04.01;2;76
463;63-300 PLESZEW, Folusz 4;;2019.02.01;2;78
464;63-300 Pleszew, Folusz 5;930/2023;2023.04.01;5;190
465;63-300 Pleszew, Folusz 5A;;2019.10.01;3;117
466;63-300 PLESZEW, Folusz 5B;122/2022;2022.01.01;2;76
467;63-300 PLESZEW, Folusz 6;511/2024;2024.04.01;1;38
468;63-300 PLESZEW, Folusz 6A;75/2024;2024.01.01;3;117
469;63-300 PLESZEW, Folusz 8;;2019.02.01;3;117
470;63-300 PLESZEW, Folusz 9;1228/2025;2025.05.01;4;152
471;63-300 Pleszew, Folusz 10;2273/2020;2020.08.01;1;38
472;63-300 PLESZEW, Folusz 13;661/2024;2024.06.01;5;190
473;63-300 Pleszew, Folusz 14;2077/2022;2023.01.01;5;195
474;63-300 PLESZEW, Folusz 15;59/2021;2021.02.01;1;39
475;63-300 Pleszew, Gminka 3;1267/2025;2025.03.01;5;190
476;63-300 Pleszew, Gminka 4;413/2023;2023.01.01;2;78
477;63-300 PLESZEW, Gminka 4A;;2019.09.01;3;117
478;63-300 Pleszew, Gminka 5;1676/2023;2023.12.01;8;312
479;63-300 Pleszew, Gminka 6;;2019.02.01;4;156
480;63-300 PLESZEW, Gminka 8;2366/2025;2026.01.01;4;152
481;63-300 PLESZEW, Grodzisko 1;948/2024;2024.08.01;3;114
482;63-300 PLESZEW, Grodzisko 1A;2563/2020;2020.09.01;3;114
483;63-300 PLESZEW, Grodzisko 1B;1553/2025;2025.07.01;5;195
484;63-300 PLESZEW, Grodzisko 1c;3388/2020;2020.12.01;2;78
485;63-300 PLESZEW, Grodzisko 2;1566/2022;2022.10.01;1;39
486;63-300 PLESZEW, Grodzisko 2A;1176/2022;2022.09.01;3;117
487;63-300 PLESZEW, Grodzisko 2B;;2019.02.01;1;39
488;63-300 PLESZEW, Grodzisko 2d;258/2024;2024.02.01;2;78
489;63-300 PLESZEW, Grodzisko 3;1510/2024;2024.08.01;4;156
490;63-300 PLESZEW, Grodzisko 3A;2430/2020;2020.08.01;5;195
491;63-300 PLESZEW, Grodzisko 3B;2758/2020;2020.09.01;5;190
492;63-300 Pleszew, Grodzisko 3C;252/2024;2024.02.01;2;78
493;63-300 PLESZEW, Grodzisko 3D;;2019.02.01;3;117
494;PLESZEW, Grodzisko 3F;1714/2022;2022.11.01;5;190
495;63-300 PLESZEW, Grodzisko 4;1572/2022;2022.11.01;2;78
496;63-300 PLESZEW, Grodzisko 4B;;2019.02.01;4;156
497;63-300 PLESZEW, Grodzisko 4C;;2020.07.01;3;117
498;63-300 PLESZEW, Grodzisko 5;403/2025;2025.01.01;7;266
499;63-300 PLESZEW, Grodzisko 5A;;2019.02.01;6;234
500;63-300 PLESZEW, Grodzisko 5D;2047/2022;2023.01.01;6;228
501;63-300 PLESZEW, Grodzisko 6;;2019.02.01;2;78
502;63-300 PLESZEW, Grodzisko 8;1220/2023;2023.09.01;6;228
503;63-300 PLESZEW, Grodzisko 9;;2019.02.01;4;156
504;63-300 PLESZEW, Grodzisko 9A;1231/2025;2025.04.01;5;195
505;63-300 PLESZEW, Grodzisko 10;490/2022;2021.07.01;3;114
506;63-300 PLESZEW, Grodzisko 11;;2019.02.01;3;117
507;63-300 PLESZEW, Grodzisko 12;;2019.02.01;2;78
508;63-300 PLESZEW, Grodzisko 13;352/2023;2023.03.01;5;190
509;63-300 PLESZEW, Grodzisko 14;;2019.02.01;5;195
510;63-300 PLESZEW, Grodzisko 15;2868/2020;2020.10.01;4;156
511;63-300 PLESZEW, Grodzisko 17;1803/2021;2021.11.01;6;228
512;63-300 PLESZEW, Grodzisko 18;1521/2022;2022.10.01;2;76
513;63-300 PLESZEW, Grodzisko 19;33/2024;2024.01.01;3;114
514;63-300 PLESZEW, Grodzisko 20;1340/2024;2024.11.01;6;234
515;63-300 PLESZEW, Grodzisko 20A;;2020.07.01;4;156
516;63-300 PLESZEW, Grodzisko 21;501/2021;2021.03.01;4;152
517;63-300 PLESZEW, Grodzisko 23;2050/2025;2025.11.01;5;195
518;63-300 PLESZEW, Grodzisko 24;;2019.12.01;6;234
519;63-300 PLESZEW, Grodzisko 25;3032/2020;2020.09.01;2;76
520;63-300 PLESZEW, Grodzisko 26;50/2021;2021.01.01;2;78
521;63-300 PLESZEW, Grodzisko 30;75/2023;2023.01.01;2;76
522;63-300 PLESZEW, Grodzisko 32;3646/2020;2020.12.01;4;152
523;63-300 PLESZEW, Grodzisko 33;;2019.02.01;1;39
524;63-300 PLESZEW, Grodzisko 35;;2019.02.01;3;117
525;63-300 PLESZEW, Grodzisko 36;1310/2023;2023.10.01;3;114
526;63-300 PLESZEW, Grodzisko 37;2678/2020;2020.08.01;3;114
527;63-300 PLESZEW, Grodzisko 37A;1101/2024;2024.08.01;5;195
528;63-300 PLESZEW, Grodzisko 38;1851/2021;2021.07.01;8;312
529;63-300 PLESZEW, Grodzisko 39/3;;2019.02.01;3;117
530;63-300 PLESZEW, Grodzisko 39/4;;2019.02.01;1;39
531;63-300 PLESZEW, Grodzisko 39/5;2166/2025;2025.11.01;2;78
532;63-300 PLESZEW, Grodzisko 39/6;1365/2021;2021.09.01;4;152
533;63-300 PLESZEW, Grodzisko 39A;865/2024;2024.07.01;5;190
534;63-300 PLESZEW, Grodzisko 40;1518/2021;2021.02.01;4;156
535;63-300 PLESZEW, Grodzisko 41;1087/2024;2024.09.01;1;39
536;63-300 PLESZEW, Grodzisko 42;;2019.02.01;2;78
537;63-300 PLESZEW, Grodzisko 43;1674/2022;2022.11.01;2;76
538;63-300 PLESZEW, Grodzisko 44;;2019.02.01;3;117
539;63-300 PLESZEW, Grodzisko 45;;2019.02.01;1;39
540;63-300 PLESZEW, Grodzisko 47;166/2024;2024.02.01;5;190
541;63-300 PLESZEW, Grodzisko 48;215/2025;2025.01.01;3;114
542;63-300 PLESZEW, Grodzisko 50;2717/2020;2020.09.01;6;228
543;63-300 PLESZEW, Grodzisko 51;;2019.02.01;1;39
544;63-300 PLESZEW, Grodzisko 52;1561/2023;2023.12.01;2;78
545;63-300 PLESZEW, Grodzisko 53;1898/2025;2025.09.01;2;78
546;63-300 PLESZEW, Grodzisko 54;;2019.02.01;2;78
547;63-300 PLESZEW, Grodzisko 54;551/2023;2023.03.01;1;38
548;63-300 PLESZEW, Grodzisko 54;96/2026;2026.01.01;3;117
549;63-300 PLESZEW, Grodzisko 55;1066/2024;2024.09.01;7;273
550;63-300 PLESZEW, Grodzisko 57;;2019.02.01;2;78
551;63-300 PLESZEW, Grodzisko 58;553/2021;2021.03.01;5;195
552;63-300 PLESZEW, Grodzisko 59;;2019.02.01;4;156
553;63-300 PLESZEW, Grodzisko 59;405/2022;2022.02.01;1;39
554;63-300 PLESZEW, Grodzisko 60;898/2025;2025.02.01;3;117
555;63-300 PLESZEW, Grodzisko 61;522/2024;2024.04.01;6;234
556;63-300 PLESZEW, Grodzisko 62;830/2024;2024.07.01;4;152
557;63-300 PLESZEW, Grodzisko 63;1488/2023;2023.10.01;4;152
558;63-300 PLESZEW, Grodzisko 64;1762/2021;2021.11.01;1;38
559;63-300 PLESZEW, Grodzisko 65;1130/2024;2024.09.01;3;117
560;63-300 PLESZEW, Grodzisko 66;2396/2025;2026.01.01;4;152
561;63-300 PLESZEW, Grodzisko 67;;2019.02.01;6;234
562;63-300 PLESZEW, Grodzisko 68A;;2019.10.01;5;195
563;63-300 PLESZEW, Grodzisko 69;;2019.02.01;2;78
564;63-300 PLESZEW, Grodzisko 69A;666/2023;2023.04.01;2;78
565;63-300 PLESZEW, Grodzisko 70;1087/2025;2025.03.01;1;39
566;63-300 PLESZEW, Grodzisko 70A;944/2025;2025.03.01;6;228
567;63-300 PLESZEW, Grodzisko 71;481/2024;2024.04.01;2;76
568;63-300 PLESZEW, Grodzisko 72;1739/2022;2022.12.01;2;76
569;63-300 PLESZEW, Grodzisko 72/1;1549/2022;2022.10.01;1;39
570;63-300 Pleszew, Grodzisko 72/2;1548/2022;2022.10.01;1;38
571;63-300 PLESZEW, Grodzisko 72/3;1071/2024;2024.08.01;2;78
572;63-300 PLESZEW, Grodzisko 72A;1735/2022;2022.12.01;6;228
573;63-300 PLESZEW, Grodzisko 73;180/2024;2024.02.01;3;117
574;63-300 PLESZEW, Grodzisko 74;613/2023;2023.04.01;6;228
575;63-300 PLESZEW, Grodzisko 75;161/2022;2021.10.01;4;156
576;63-300 PLESZEW, Grodzisko 76;2157/2025;2026.01.01;2;78
577;63-300 PLESZEW, Grodzisko 76A;308/2023;2023.03.01;5;195
578;63-300 PLESZEW, Grodzisko 76B/1;;2019.02.01;2;78
579;63-300 PLESZEW, Grodzisko 76B/5;;2019.02.01;4;156
580;63-300 PLESZEW, Grodzisko 76C;238/2024;2024.02.01;2;76
581;63-300 PLESZEW, Grodzisko 77;213/2024;2024.02.01;11;429
582;63-300 PLESZEW, Grodzisko 78;182/2022;2022.01.01;3;114
583;63-300 PLESZEW, Grodzisko 80a;;2019.08.01;5;195
584;63-300 PLESZEW, Grodzisko 81;;2019.02.01;3;117
585;63-300 PLESZEW, Grodzisko 81A;438/2023;2023.03.01;5;190
586;63-300 PLESZEW, Grodzisko 81C;576/2021;2021.03.01;3;114
587;63-300 PLESZEW, Grodzisko 82A;788/2024;2024.05.01;1;39
588;63-300 PLESZEW, Grodzisko 83;1800/2025;2025.09.01;5;190
589;63-300 PLESZEW, Grodzisko 83B;1321/2022;2022.06.01;1;39
590;63-300 PLESZEW, Grodzisko 83D;773/2023;2023.06.01;4;156
591;63-300 PLESZEW, Grodzisko 84;1863/2025;2025.09.01;3;114
592;63-300 PLESZEW, Grodzisko 85;1494/2024;2024.11.01;2;78
593;63-300 PLESZEW, Grodzisko 86;1635/2020;2020.08.01;6;228
594;63-300 PLESZEW, Grodzisko 87;1634/2020;2020.08.01;2;76
595;63-300 PLESZEW, Grodzisko 88;1638/2022;2022.11.01;6;234
596;63-300 PLESZEW, Grodzisko 89;2074/2022;2023.01.01;5;195
597;63-300 PLESZEW, Grodzisko 90;1591/2020;2020.08.01;3;114
598;63-300 PLESZEW, Grodzisko 91;;2019.02.01;6;234
599;63-300 PLESZEW, Grodzisko 92;1318/2021;2021.07.01;8;312
600;63-300 PLESZEW, Grodzisko 93;1824/2025;2025.08.01;5;195
601;63-300 PLESZEW, Grodzisko 94;390/2021;2021.02.01;3;114
602;63-300 PLESZEW, Grodzisko 94A;;2019.02.01;5;195
603;63-300 PLESZEW, Grodzisko 95;1865/2025;2025.10.01;2;78
604;63-300 PLESZEW, Grodzisko 95A;2096/2025;2025.11.01;5;195
605;63-300 PLESZEW, Grodzisko 96;;2020.03.01;2;78
606;63-300 PLESZEW, Grodzisko 97;;2019.02.01;3;117
607;63-300 PLESZEW, Grodzisko 97A;782/2023;2023.05.01;3;117
608;63-300 PLESZEW, Grodzisko 97B;;2019.02.01;2;78
609;63-300 PLESZEW, Grodzisko 98;1650/2025;2025.08.01;2;76
610;63-300 PLESZEW, Grodzisko 99;202/2024;2024.01.01;3;117
611;63-300 PLESZEW, Grodzisko 99A;2816/2020;2020.09.01;2;76
612;63-300 PLESZEW, Grodzisko 100A;1192/2025;2025.05.01;6;228
613;63-300 PLESZEW, Grodzisko 101;;2019.09.01;2;78
614;63-300 PLESZEW, Grodzisko 102;1465/2024;2024.12.01;2;76
615;63-300 PLESZEW, Grodzisko 103A;47/2021;2021.01.01;4;152
616;63-300 PLESZEW, Grodzisko 104;;2020.01.01;2;78
617;63-300 PLESZEW, Grodzisko 105;2140/2025;2025.11.01;6;228
618;63-300 PLESZEW, Grodzisko 106;1064/2025;2025.03.01;3;117
619;63-300 PLESZEW, Grodzisko 106A;720/2021;2021.04.01;6;228
620;63-300 PLESZEW, Grodzisko 107;433/2023;2023.01.01;5;195
621;63-300 PLESZEW, Grodzisko 108;358/2023;2023.03.01;7;266
622;63-300 PLESZEW, Grodzisko 109;;2019.02.01;2;78
623;63-300 PLESZEW, Grodzisko 111;1248/2020;2020.08.01;7;266
624;63-300 PLESZEW, JankÛw 1;2015/2025;2025.11.01;9;351
625;63-300 PLESZEW, JankÛw 2A;;2019.02.01;6;234
626;63-300 PLESZEW, JankÛw 3;;2020.01.01;4;156
627;63-300 Pleszew, JankÛw 3/1;367/2021;2021.02.01;3;117
628;63-300 Pleszew, JankÛw 3/2;952/2024;2024.05.01;1;39
629;63-300 Pleszew, JankÛw 3/3;;2019.02.01;1;39
630;63-300 Pleszew, JankÛw 3/5;;2020.01.01;3;117
631;63-300 PLESZEW, JankÛw 3A;2148/2020;2020.09.01;4;152
632;63-300 PLESZEW, JankÛw 4;840/2025;2025.01.01;3;114
633;63-300 PLESZEW, JankÛw 4A;1149/2025;2025.03.01;4;152
634;63-300 PLESZEW, JankÛw 5;838/2025;2025.01.01;21;819
635;63-300 PLESZEW, JankÛw 5D;737/2021;2021.05.01;1;39
636;63-300 PLESZEW, JankÛw 5E;;2019.02.01;2;78
637;63-300 Pleszew, JankÛw 6;1569/2023;2023.10.01;6;234
638;63-300 Pleszew, JankÛw 7;1619/2023;2023.12.01;3;114
639;63-300 PLESZEW, JankÛw 8;;2019.02.01;3;117
640;63-300 PLESZEW, JankÛw 9;1578/2025;2025.08.01;12;468
641;63-300 PLESZEW, JankÛw 11;689/2025;2025.01.01;2;78
642;63-300 PLESZEW, JankÛw 12;711/2024;2024.07.01;4;156
643;63-300 Pleszew, JankÛw 12A;;2019.02.01;5;195
644;63-300 Pleszew, JankÛw 12B;476/2024;2024.05.01;4;156
645;63-300 PLESZEW, JankÛw 12D;1133/2022;2022.09.01;3;117
646;63-300 PLESZEW, JankÛw 12E;23/2025;2025.01.01;3;117
647;63-300 PLESZEW, JankÛw 13;1700/2022;2022.11.01;6;228
648;63-300 PLESZEW, JankÛw 13A;1036/2025;2025.04.01;3;117
649;63-300 PLESZEW, JankÛw 13B;;2019.02.01;4;156
650;63-300 Pleszew, JankÛw 14;;2019.02.01;3;117
651;63-300 PLESZEW, JankÛw 15;364/2021;2021.02.01;6;228
652;63-300 PLESZEW, JankÛw 16A;448/2024;2024.02.01;6;228
653;63-300 PLESZEW, JankÛw 16B;456/2022;2022.03.01;4;152
654;63-300 PLESZEW, JankÛw 17;;2019.02.01;3;117
655;63-300 PLESZEW, JankÛw 18;1537/2024;2025.01.01;2;78
656;63-300 PLESZEW, JankÛw 19;1286/2024;2024.11.01;2;78
657;63-300 PLESZEW, JankÛw 19A;407/2025;2025.01.01;3;117
658;63-300 PLESZEW, JankÛw 20;259/2021;2021.02.01;4;152
659;63-300 PLESZEW, JankÛw 22;283/2024;2024.01.01;1;39
660;63-300 PLESZEW, JankÛw 23;153/2025;2025.01.01;4;156
661;63-300 PLESZEW, JÛzefina 1/1;406/2021;2021.02.01;1;38
662;63-300 PLESZEW, JÛzefina 1/2;;2019.02.01;1;39
663;63-300 PLESZEW, JÛzefina 1/3;146/2021;2021.01.01;1;38
664;63-300 PLESZEW, JÛzefina 1/4;;2019.02.01;2;78
665;63-300 PLESZEW, JÛzefina 2;983/2022;2022.06.01;3;117
666;63-300 PLESZEW, JÛzefina 3;1091/2025;2025.04.01;2;76
667;63-300 Pleszew, JÛzefina 4;2320/2020;2020.08.01;3;114
668;63-300 Pleszew, JÛzefina 5;766/2021;2021.05.01;7;266
669;63-300 PLESZEW, Korzkwy 1/1;;2019.02.01;1;39
670;63-300 Pleszew, Korzkwy 1/3;2454/2020;2020.09.01;2;78
671;63-300 PLESZEW, Korzkwy 1/4;;2019.02.01;2;78
672;63-300 PLESZEW, Korzkwy 1A;;2019.02.01;4;156
673;63-300 PLESZEW, Korzkwy 1C;450/2021;2021.02.01;4;156
674;63-300 PLESZEW, Korzkwy 1D;724/2023;2023.05.01;4;156
675;63-300 PLESZEW, Korzkwy 2/1;1374/2025;2025.05.01;2;78
676;63-300 PLESZEW, Korzkwy 2/2;;2019.02.01;1;39
677;63-300 PLESZEW, Korzkwy 2/3;;2019.07.01;2;78
678;63-300 PLESZEW, Korzkwy 2/4;;2019.02.01;2;78
679;63-300 Pleszew, Korzkwy 2C;1523/2020;2020.08.01;4;152
680;63-300 Pleszew, Korzkwy 2d;1407/2024;2024.11.01;2;78
681;63-300 Pleszew, Korzkwy 3/1;;2019.02.01;2;78
682;63-300 Pleszew, Korzkwy 3/2;;2019.02.01;3;117
683;63-300 Pleszew, Korzkwy 3/3;1628/2022;2022.10.01;2;78
684;63-300 Pleszew, Korzkwy 3/4;;2019.02.01;2;78
685;63-300 PLESZEW, Korzkwy 4;670/2025;2025.01.01;4;156
686;63-300 PLESZEW, Korzkwy 5A;;2019.02.01;4;156
687;63-300 PLESZEW, Korzkwy 5A/1;529/2024;2024.05.01;4;156
688;63-300 PLESZEW, Korzkwy 5B;;2019.02.01;2;78
689;63-300 Pleszew, Korzkwy 6;;2019.02.01;6;234
690;63-300 PLESZEW, Korzkwy 7;;2019.02.01;3;117
691;63-300 PLESZEW, Korzkwy 8;1856/2022;2023.01.01;2;76
692;63-300 PLESZEW, Korzkwy 9;;2019.02.01;7;273
693;63-300 PLESZEW, Korzkwy 9A/1;;2019.09.01;2;78
694;63-300 PLESZEW, Korzkwy 9A/2;;2020.03.01;1;39
695;63-300 PLESZEW, Korzkwy 10;2141/2025;2025.11.01;5;190
696;63-300 PLESZEW, Korzkwy 10a;383/2025;2025.01.01;5;190
697;63-300 PLESZEW, Korzkwy 11A;2842/2020;2020.09.01;4;152
698;63-300 PLESZEW, Korzkwy 11B;;2020.04.01;4;156
699;63-300 PLESZEW, Korzkwy 12;812/2022;2022.06.01;4;156
700;63-300 Pleszew, Korzkwy 12A;;2019.02.01;1;39
701;63-300 PLESZEW, Korzkwy 13;1710/2022;2022.11.01;3;114
702;63-300 PLESZEW, Korzkwy 13 A i B;56/2026;2026.01.01;37;1443
